uid,d15N,d13C,sampleID,individualID
6035395f-95ca-4461-b3ac-bff99402f723,5.9,-29.1,xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PKF/GwC2YXGM=,NEON.PLA.D04.GUAN.02995
c667fa7b-1fd5-4edf-ac8b-970d026ae904,5.3,-28.4,xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25/QazCIK0oM4=,NEON.PLA.D04.GUAN.02692
d1616fca-7786-4e21-be9d-a9e7d74b4b8d,12,-29,xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUrmhSU6tu78w=,NEON.PLA.D04.GUAN.00065
eb617e3c-047c-40f2-b9e6-684c50b7d354,3.6,-31.1,xIqeKa1cF5zi5fI3F8z9YZz4D4/4pdVVrIuoCA+G6II=,NEON.PLA.D04.GUAN.00045
2076ed6c-83ec-4c6c-890d-510d96333941,5.9,-28.1,xIqeKa1cF5xrbUxm1ISTmNAHfrSqdQHyc4ZEAXKyFt4=,NEON.PLA.D04.GUAN.00138
f95410d3-0f15-41d7-9290-100ca1fab94c,2.9,-27.7,xIqeKa1cF5wwrIuSv422hnj6XHplVzshXD0Ib8lBPbg=,NEON.PLA.D04.GUAN.04332
9a5e67d3-ef3d-482b-b0b2-b4ee2c0dbeec,2.9,-27.6,xIqeKa1cF5wwrIuSv422hnj6XHplVzshXD0Ib8lBPbg=,NEON.PLA.D04.GUAN.04332
5397bd39-c877-42c5-b915-51379de7dab8,4.9,-28.9,xIqeKa1cF5zts93CSVKm4U3tyCpyHWZrw2TsZG9cUDY=,NEON.PLA.D04.GUAN.04334
3c741856-411d-476c-933b-dd89ef44529f,6.3,-28.5,xIqeKa1cF5yMBPJoNJKIaUGw4L/FPEbO0A4PDvYAfc4=,NEON.PLA.D04.GUAN.04562
d13f9aa1-4b3e-4e9c-9785-5027b5182940,5.7,-30.4,xIqeKa1cF5yM8COs61ByxNYWb0J8TMOyRbC9EIJng0k=,NEON.PLA.D04.GUAN.04566
4f4fd939-150c-4659-ace7-2db16dcd8033,4,-28.9,xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNRxwk/ZU9M4U=,NEON.PLA.D04.GUAN.02440
0b2c1bab-e044-4df3-abab-9bd19ad358c0,4,-28.8,xIqeKa1cF5wOaaZ/OOUvWCI8jnf7NEuNRxwk/ZU9M4U=,NEON.PLA.D04.GUAN.02440
eaaead24-fd96-4d94-95dd-b32c6654c793,5.4,-29.6,xIqeKa1cF5xYBHSYE3LGXLFnC5oSjTgXBaRIowYiH6k=,NEON.PLA.D04.GUAN.02790
b91548dd-d808-4409-a5d3-ed221060e1e7,8.4,-26.5,xIqeKa1cF5wMpbmu91XFc/mrtqEJApmBlmQHM/GjOGU=,NEON.PLA.D04.GUAN.02073
7cbba96b-f157-43e0-a424-4413b9fc4a77,4.3,-26.9,xIqeKa1cF5w1nHnXZJaXrn135RaJdyucJQgfIA9El9U=,NEON.PLA.D04.GUAN.02069
831199dc-e1d5-4b1f-bb68-1ae761c157e4,5,-25.6,xIqeKa1cF5zMiEhz4bR3oz9ljkt4PGMO3mZRrAKh4M8=,NEON.PLA.D04.GUAN.08289
16f1f4dc-ac31-4f1e-bf56-22c516e1e302,5,-25.7,xIqeKa1cF5zMiEhz4bR3oz9ljkt4PGMO3mZRrAKh4M8=,NEON.PLA.D04.GUAN.08289
459fe31c-637a-47fe-9293-e1a87df8e8e9,6.5,-29.6,xIqeKa1cF5xOrWWSAns41AVTeBtlBodSNtAyxvjB+f4=,NEON.PLA.D04.GUAN.01201
9ae4d691-ce60-4121-9c3b-3891f0e6d33e,4.4,-28.2,xIqeKa1cF5zhhM9cvDjkYJeFKDT+A8JLw3BIuZQv+7Y=,NEON.PLA.D04.GUAN.01211
a4e62ca0-fb48-4619-bd12-479e30752f87,6.3,-28.4,xIqeKa1cF5wQKeCfvLWXTiz29J8MM1ykwpYvE/olIbg=,NEON.PLA.D04.GUAN.03365
eef15228-7ac6-482b-b448-05c08ff677d3,4.1,-26.8,xIqeKa1cF5wb8aZre4hFDZNYcieXCGMyxQLlZRKnNMA=,NEON.PLA.D04.GUAN.05593
84e04efb-5b05-48a9-8ab4-c9a3997ba7b1,5,-28.6,xIqeKa1cF5wwbgR6i65FNY7hsCdnLiRVdYI2krS+BFw=,NEON.PLA.D04.GUAN.03369
cd8ddbf7-58a9-4426-9d68-b63cbc34b1df,4.1,-27.8,xIqeKa1cF5x6PcWF6xZTvEpNJ3mJhEACWg8RbYWNFok=,NEON.PLA.D04.GUAN.04171
74f220f2-5b28-4602-94a2-d21d1a625626,7.5,-28.5,xIqeKa1cF5yPeCgRPNNu6TFE94uI0Tf9YGACYUvroDA=,NEON.PLA.D04.GUAN.04181
80ca28a9-7923-4f50-af41-bc67b003bcd4,3.5,-28,xIqeKa1cF5x6PcWF6xZTvNKt/EhEiAWWoKdFND3pnKw=,NEON.PLA.D04.GUAN.04185
d6cdd612-10e5-4b70-8b54-845247c6ed27,2.1,-26.3,xIqeKa1cF5wjN81kTMTliYHZpx4L5DaZ7pL+xCNZ2cM=,NEON.PLA.D04.GUAN.04232
35759154-a848-422b-ad73-7e24692cfcc4,5.1,-27.8,xIqeKa1cF5yy0iCHo68yjXG2NRybj3d+bhbTP1Jbu7o=,NEON.PLA.D04.GUAN.04234
c45c6c5b-d4a3-4818-bf58-fe9c5c8078a0,3.6,-29.2,xIqeKa1cF5yd5Y4jHTwwj3GtypZci34bZUTYzRerIvQ=,NEON.PLA.D04.GUAN.04227
dd782597-9852-48ba-950b-95b09feb906c,1.7,-26.9,xIqeKa1cF5yFM43w6tf90BBTZuyu3mkKo/3jPW7xmlE=,NEON.PLA.D04.GUAN.04695
b9cbc2ac-76de-4790-97d8-62e4084c7eac,-1.7,-30.3,VIe0/2w3fNdxYrN/WhkT+uRLGtZdIuPlH3Rj4eVGgvc=,NEON.PLA.D05.STEI.03112
d1901e4f-46fe-46c8-a3d2-71d6ca27d04d,-1.9,-27.7,VIe0/2w3fNd+AFr8nHrB6sAugOdzx6mZeUmxfA7e+TI=,NEON.PLA.D05.STEI.03102
152e088b-76c6-4418-a3c4-37880bf692b3,-0.6,-28,VIe0/2w3fNftqIpFKLlZ7OyxLztnbW5sTDhQYQBiRn0=,NEON.PLA.D05.STEI.05149
2b6ca7cd-99ef-471f-b5c2-2ba741cd7571,-1.9,-26.8,VIe0/2w3fNdfUv4vjjWHezSjApQWs26PZzIgyJrHYCk=,NEON.PLA.D05.STEI.05168
6f202ac8-3f3b-4891-9d5a-f396dba3b320,-2.6,-28.8,VIe0/2w3fNeozSAraMsLYnwf4V3XdQvd+XWsEZeBUeY=,NEON.PLA.D05.STEI.05150
7136e412-411d-44fd-bd00-09dad2911bf0,-1.3,-28.8,VIe0/2w3fNdImTPDFEeyj4pOPHv3uWaNhPrQV1lWKNs=,NEON.PLA.D05.STEI.05382
f9355f33-edef-4fd0-8c40-63b441ea9be7,-2,-28.4,VIe0/2w3fNcUGzVrPfqiD8/f4TEvV8as4BcvO/EM4Rg=,NEON.PLA.D05.STEI.05383
a5f7ca81-3a6b-4b14-a239-565e565cc9dd,-3,-28.5,VIe0/2w3fNebL06shWhPji2SF1yB8s00UNM/Y0EFZxk=,NEON.PLA.D05.STEI.05598
fe2b2c41-0848-40f8-917d-ee6e57798ac9,-1.9,-28.4,VIe0/2w3fNf2pzHj10cnqQF8QtjK6edGrDl/vLip/Pg=,NEON.PLA.D05.STEI.01338
41110a91-02a7-4aa5-a076-1dd9b745be01,-1.3,-27.5,VIe0/2w3fNeiYDd1kvOxg66bfSAZVSGo8BLiyROlYQw=,NEON.PLA.D05.STEI.03471
16b3fb76-35a3-46e4-bc88-f63625e841b7,-5.3,-26.1,VIe0/2w3fNdC6482kBzsU+ZXDvTcBmXpcxcMuwwiLjc=,NEON.PLA.D05.STEI.03444
8f0c4ffb-ecb1-4973-971a-d22c2d49dc0f,-0.3,-28.1,VIe0/2w3fNfxmlWt9NRGm4zZmHkOrqOnv3sKGslRn+s=,NEON.PLA.D05.STEI.03752
ab2881c7-44c8-4075-9e8e-094e372350e7,-0.3,-28.1,VIe0/2w3fNfxmlWt9NRGm4zZmHkOrqOnv3sKGslRn+s=,NEON.PLA.D05.STEI.03752
c2e3ff6b-8bf8-4a7c-a8f5-7ae0af3e8f60,-0.9,-29.9,VIe0/2w3fNd94NzJ1ldmPvO/rfvxTdRR90xtbj4w4Go=,NEON.PLA.D05.STEI.03709
9f2bf30a-5b44-42a4-8717-f4a15ec31a4b,-1.9,-29.4,VIe0/2w3fNdw57HdUJ7YL8y6o5N9MN7OHNdhjlaZOp0=,NEON.PLA.D05.STEI.03705
b7497194-2929-4c00-96a4-0c3a4ad686e7,0.4,-28,VIe0/2w3fNfkpyROGrcCGN/B52ltoaK5OoK0qtPoR2o=,NEON.PLA.D05.STEI.05482
3b6b5085-70ec-4578-a7a6-b36d339daa4c,-2.8,-28.2,VIe0/2w3fNdOqIczM0wx5vfpcF4tFLybGsHm0906xWk=,NEON.PLA.D05.STEI.05483
0f4f1b47-5ffe-4a35-9f24-a6fb335e30dc,0.3,-27.7,VIe0/2w3fNfkpyROGrcCGPtCR19whAUEbHnv++zRu/I=,NEON.PLA.D05.STEI.05479
66fdfd7c-f3a0-446c-876b-32dc59dd5f0a,-4.5,-28.8,VIe0/2w3fNcn3zJhSf83pVhdTs3/Fuw0wCSb+sp0z98=,NEON.PLA.D05.STEI.02177
74c0c539-f8af-4a3a-914c-a665920c9521,-0.4,-30.3,VIe0/2w3fNf39i0uHMFdmaeaCqh5sYXhZumlpdA2UH4=,NEON.PLA.D05.STEI.02103
fe36db8f-74c2-4e9c-a980-7019c2df487f,-4.5,-27.6,VIe0/2w3fNcn3zJhSf83pVVxpG6jk1EcOoeAHmkKomg=,NEON.PLA.D05.STEI.02111
ec3fc4b1-4814-41de-be7b-9a3c8f62fccf,-3.9,-25.5,VIe0/2w3fNdp78ByyJA8EAivT6mVK4BIvRLpY5y8l9c=,NEON.PLA.D05.STEI.02147
910ab31a-914e-4ee6-85ce-f227541cdad4,0.3,-27.5,VIe0/2w3fNdGg8ZdiqmQlCp6yf9Pjzzg0f8d4lnTIVI=,NEON.PLA.D05.STEI.01538
20d2e986-d820-4ec3-a8ce-bae19edc6531,-3.2,-27.6,WnrB9gmiM7KvmlqGJ42r9+3oMC4z/PpxWa8h73+2iqQ=,NEON.PLA.D05.UNDE.03701
2f798e53-6f9a-4cbe-adbf-1854ca2f80ac,-1.7,-30.1,WnrB9gmiM7J7IoFxUZveELqHAvQSepTBVqV06RBRk8w=,NEON.PLA.D05.UNDE.03845
735c41f6-df3f-4b85-8673-b17fb3abb383,-1.2,-28.8,WnrB9gmiM7IfnJtC5BUruWEfsaR4ESPCBa6UBK8h+pY=,NEON.PLA.D05.UNDE.03606
9913f9c2-a441-4284-85f2-dd1cd809ffd7,-0.4,-29.2,WnrB9gmiM7LN5748NGOBOCfyviLTlqwkJeO5LJ9Ga+E=,NEON.PLA.D05.UNDE.04463
b6562463-5255-4934-a21e-0cac0e1b8656,1.3,-30,Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,NEON.PLA.D06.KONZ.05402Z
9caba409-47e3-4a58-b36d-512f6fa8d482,1.3,-30,Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,NEON.PLA.D06.KONZ.05402Z
f667b8e5-50d7-45bf-9bab-33652f3f965b,0,-30.5,Cekj+eelgP8+4YR5y1t7pT4/Zul4g7BryOIPuZIcrPg=,NEON.PLA.D06.KONZ.05405Z
